district_id,subprefeitura_id
01,15.0
02,22.0
03,31.0
04,16.0
05,7.0
06,13.0
07,14.0
08,15.0
09,14.0
10,15.0
11,2.0
12,21.0
13,3.0
14,14.0
15,29.0
16,29.0
17,23.0
18,7.0
19,23.0
20,16.0
21,3.0
22,26.0
23,25.0
24,11.0
25,30.0
26,14.0
27,19.0
28,8.0
29,2.0
30,25.0
31,12.0
32,20.0
33,17.0
34,19.0
35,22.0
36,10.0
37,11.0
38,28.0
39,5.0
40,13.0
41,13.0
42,1.0
43,24.0
44,9.0
45,22.0
46,24.0
47,11.0
48,13.0
49,14.0
50,3.0
51,4.0
52,27.0
53,15.0
54,21.0
55,27.0
56,15.0
57,11.0
58,26.0
59,7.0
60,13.0
61,31.0
62,22.0
63,1.0
64,8.0
65,21.0
66,14.0
67,21.0
68,19.0
69,14.0
70,4.0
71,29.0
72,18.0
73,17.0
74,9.0
75,17.0
76,32.0
77,20.0
78,14.0
79,25.0
80,15.0
81,5.0
82,4.0
83,23.0
84,10.0
85,16.0
86,6.0
87,9.0
88,13.0
89,6.0
90,20.0
91,7.0
92,6.0
93,18.0
94,21.0
95,1.0
96,12.0
