unit_id,district_name,gross_area_m2,cmap_proxy_water_m2,population_allocated,jobs_allocated,hydro_water_m2,hydro_land_m2,population_density_2020_gross_km2,jobs_density_2022_gross_km2
CHI:01,ROGERS PARK,4758656.228015077,0.0,55462.22153698101,12668.306014942733,30.4918609222072,4758625.7355618775,11655.01748381503,2662.1603679547397
CHI:02,WEST RIDGE,9137658.14084154,0.0,77116.42040170313,11910.505453385345,25533.830873807947,9112124.30996771,8439.407473237014,1303.4527304266646
CHI:03,UPTOWN,6043042.934366598,0.0,57181.79652465899,12555.457850024486,12700.064341770365,6030342.862579887,9462.417716655276,2077.671462273085
CHI:04,LINCOLN SQUARE,6623966.103541163,25726.06601305923,40488.735567119424,10489.83840671622,81709.8581164607,6542256.245424707,6112.461165143071,1583.6189743042871
CHI:05,NORTH CENTER,5296593.106232864,58642.73924493557,35132.103228171225,12207.638051267284,89308.57583374131,5207284.530399107,6632.962457854063,2304.8094891226815
CHI:06,LAKE VIEW,8096437.499658218,574.4910153837258,103021.23274674786,27322.272903332276,22.772045833597705,8096414.721259234,12724.267031159914,3374.6043126357313
CHI:07,LINCOLN PARK,8198678.660118646,3903.016043635414,70489.86532529909,24966.996625882497,334548.47015172214,7864130.186822801,8597.710466222738,3045.2463940721386
CHI:08,NEAR NORTH SIDE,7118003.341570558,4955.315523597593,105397.24795217373,203553.59343116288,281143.7284704929,6836859.604245657,14807.1366216749,28597.00728747475
CHI:09,EDISON PARK,2937112.005044956,0.0,11522.398556165886,2684.5278161979713,0.0,2937112.005044952,3923.036825417055,914.0025343217652
CHI:10,NORWOOD PARK,11322618.219300324,0.0,38253.518841203215,10798.877778995316,14203.717589218058,11308414.50171109,3378.504697437999,953.7438752980075
CHI:11,JEFFERSON PARK,6022237.97074972,0.0,26211.186549450682,5544.995806404175,26041.441394170466,5996196.529355574,4352.399668820726,920.7533533773437
CHI:12,FOREST GLEN,8274696.336238334,0.0,19546.204945207366,4634.20127843478,71186.48348745922,8203509.852750861,2362.1658307394814,560.0448753798598
CHI:13,NORTH PARK,6525331.184540938,0.0,17538.56495931982,7140.892327588275,114773.27821050382,6410557.9063304085,2687.7662548178655,1094.3340844531622
CHI:14,ALBANY PARK,4970648.800632658,25257.995057998567,48430.27362838336,5900.497708642244,47988.50296963907,4922660.297663032,9743.24993997146,1187.0679151363975
CHI:15,PORTAGE PARK,10230362.674821753,0.0,63027.32047337859,8090.402607302804,0.0,10230362.674821762,6160.809980715247,790.822658439503
