district_id,district_name,community_area,acs_year,total_population
01,ROGERS PARK,ROGERS PARK,2023,53169.0
02,WEST RIDGE,WEST RIDGE,2023,79220.0
03,UPTOWN,UPTOWN,2023,52674.0
04,LINCOLN SQUARE,LINCOLN SQUARE,2023,42180.0
05,NORTH CENTER,NORTH CENTER,2023,35782.0
06,LAKE VIEW,LAKE VIEW,2023,90652.0
07,LINCOLN PARK,LINCOLN PARK,2023,62067.0
08,NEAR NORTH SIDE,NEAR NORTH SIDE,2023,91635.0
09,EDISON PARK,EDISON PARK,2023,11398.0
10,NORWOOD PARK,NORWOOD PARK,2023,40074.0
11,JEFFERSON PARK,JEFFERSON PARK,2023,26991.0
12,FOREST GLEN,FOREST GLEN,2023,19763.0
13,NORTH PARK,NORTH PARK,2023,19259.0
14,ALBANY PARK,ALBANY PARK,2023,47830.0
15,PORTAGE PARK,PORTAGE PARK,2023,64201.0
16,IRVING PARK,IRVING PARK,2023,53535.0
17,DUNNING,DUNNING,2023,42548.0
18,MONTCLARE,MONTCLARE,2023,13755.0
19,BELMONT CRAGIN,BELMONT CRAGIN,2023,73988.0
20,HERMOSA,HERMOSA,2023,23200.0
21,AVONDALE,AVONDALE,2023,36350.0
22,LOGAN SQUARE,LOGAN SQUARE,2023,71354.0
23,HUMBOLDT PARK,HUMBOLDT PARK,2023,55015.0
24,WEST TOWN,WEST TOWN,2023,86453.0
25,AUSTIN,AUSTIN,2023,100278.0
26,WEST GARFIELD PARK,WEST GARFIELD PARK,2023,16345.0
27,EAST GARFIELD PARK,EAST GARFIELD PARK,2023,19855.0
28,NEAR WEST SIDE,NEAR WEST SIDE,2023,65370.0
29,NORTH LAWNDALE,NORTH LAWNDALE,2023,30355.0
30,SOUTH LAWNDALE,SOUTH LAWNDALE,2023,69554.0
31,LOWER WEST SIDE,LOWER WEST SIDE,2023,34177.0
32,LOOP,LOOP,2023,38284.0
33,NEAR SOUTH SIDE,NEAR SOUTH SIDE,2023,26307.0
34,ARMOUR SQUARE,ARMOUR SQUARE,2023,13149.0
35,DOUGLAS,DOUGLAS,2023,18629.0
36,OAKLAND,OAKLAND,2023,4373.0
37,FULLER PARK,FULLER PARK,2023,2186.0
38,GRAND BOULEVARD,GRAND BOULEVARD,2023,24808.0
39,KENWOOD,KENWOOD,2023,14368.0
40,WASHINGTON PARK,WASHINGTON PARK,2023,12362.0
41,HYDE PARK,HYDE PARK,2023,24092.0
42,WOODLAWN,WOODLAWN,2023,24437.0
43,SOUTH SHORE,SOUTH SHORE,2023,46276.0
44,CHATHAM,CHATHAM,2023,31440.0
45,AVALON PARK,AVALON PARK,2023,9492.0
46,SOUTH CHICAGO,SOUTH CHICAGO,2023,29072.0
47,BURNSIDE,BURNSIDE,2023,2229.0
48,CALUMET HEIGHTS,CALUMET HEIGHTS,2023,12078.0
49,ROSELAND,ROSELAND,2023,37660.0
50,PULLMAN,PULLMAN,2023,6851.0
51,SOUTH DEERING,SOUTH DEERING,2023,15100.0
52,EAST SIDE,EAST SIDE,2023,23629.0
53,WEST PULLMAN,WEST PULLMAN,2023,25159.0
54,RIVERDALE,RIVERDALE,2023,7740.0
55,HEGEWISCH,HEGEWISCH,2023,8895.0
56,GARFIELD RIDGE,GARFIELD RIDGE,2023,36265.0
57,ARCHER HEIGHTS,ARCHER HEIGHTS,2023,13875.0
58,BRIGHTON PARK,BRIGHTON PARK,2023,42360.0
59,MCKINLEY PARK,MCKINLEY PARK,2023,15400.0
60,BRIDGEPORT,BRIDGEPORT,2023,33012.0
61,NEW CITY,NEW CITY,2023,40843.0
62,WEST ELSDON,WEST ELSDON,2023,18201.0
63,GAGE PARK,GAGE PARK,2023,34650.0
64,CLEARING,CLEARING,2023,24710.0
65,WEST LAWN,WEST LAWN,2023,32451.0
66,CHICAGO LAWN,CHICAGO LAWN,2023,52245.0
67,WEST ENGLEWOOD,WEST ENGLEWOOD,2023,25971.0
68,ENGLEWOOD,ENGLEWOOD,2023,21337.0
69,GREATER GRAND CROSSING,GREATER GRAND CROSSING,2023,29052.0
70,ASHBURN,ASHBURN,2023,42842.0
71,AUBURN GRESHAM,AUBURN GRESHAM,2023,46483.0
72,BEVERLY,BEVERLY,2023,19811.0
73,WASHINGTON HEIGHTS,WASHINGTON HEIGHTS,2023,26310.0
74,MOUNT GREENWOOD,MOUNT GREENWOOD,2023,19107.0
75,MORGAN PARK,MORGAN PARK,2023,21288.0
76,OHARE,OHARE,2023,16281.0
77,EDGEWATER,EDGEWATER,2023,47484.0
