subtype,class,records,length_inside_m
rail,light_rail,31,12093.800001201083
rail,monorail,3,20.595749049055822
rail,standard_gauge,3005,1979973.4173561523
rail,subway,675,368263.2906321905
rail,unknown,1010,310016.1662839366
road,cycleway,595,205739.11915218792
road,footway,90815,12062598.160533272
road,living_street,31,4120.541609896987
road,motorway,1136,480619.1382695232
road,path,1749,208156.5897914138
road,pedestrian,111,8888.14873581908
road,primary,1545,184285.3245787532
road,residential,32578,4442042.993487843
road,secondary,8937,1027494.5959779633
road,service,48450,6459527.6826582
road,steps,2879,21647.922318576257
road,tertiary,6062,753609.0494000984
road,track,432,153425.34973448954
road,trunk,224,37140.713590444175
road,unclassified,713,121588.83631710397
road,unknown,2461,104664.94732325172
water,,7,12383.34306396757
