,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
street_density_km_km2,-0.4275889380359689,0.08713710863148745,0.18970223574167328,-0.09587859665424014,0.1663163284588725,0.26434530593851735,0.3536117785789329,0.25923762370478654,0.09884676136824179,0.052399991592455765,-0.1422371081370655,0.17465980138460543,-0.06425273039876175,0.153019187022073,0.22870652388215096,-0.01471429540431951,0.12355488099043943,-0.44163620013397087,-0.23966856142637633,-0.0029516325195328317,0.22131373082465808,-0.12014631337693596,0.010809903083793407
intersection_density_proxy_5m_km2,-0.3854841852619514,0.2752909694021085,0.019521637901249122,0.13989728214810712,0.17705562640521866,0.12897949142640272,0.269995995535479,0.2650153406372058,0.05435992091224332,0.0664852629494539,0.35353292439615575,-0.056310717499337484,0.23817265878903088,-0.09137506179879927,-0.1579202467800108,0.16352797451698728,-0.05750751838110153,0.5313683548132729,0.14315568620722935,-0.025228014656838535,-0.020278691073345984,0.06328538631223568,0.032494000985776705
block_log_area_median,0.07537222309117773,-0.24377752030831065,0.3906355228183783,-0.21097539132108442,-0.08266476268992576,0.301033430774411,-0.12398566993262485,-0.09156598632828772,0.6734796177374534,0.07631661111428654,0.07236048241157479,0.02607055592835395,0.05465808123623983,-0.15730956652097866,0.15734392710995196,-0.022651167395933935,0.10498695503289826,0.09916889097968694,0.22355970911436174,0.06467340141119991,-0.048148947305979,0.14451779956987226,-0.00571766137585272
block_log_area_iqr,0.1826517526859146,-0.025925483572301303,-0.008827299554735343,-0.14650661372630577,-0.16436679848892025,0.5863809924584595,-0.17467038948305005,0.29795628670757984,-0.44687312377548855,0.2861622126852574,0.08779687757834154,-0.27624067919193346,0.06650362603335608,-0.1418500848796101,0.16815822543960382,0.047298068757706556,-0.019055674270505085,-0.0656577631124651,-0.04721551456856771,-0.06720544049732576,-0.10110593720093589,0.10340878370292463,-0.03579786324949126
block_compactness_median,-0.05482013036537141,-0.10910841313714038,0.10473139392798739,0.08631605003059879,-0.07080272300025245,-0.12108789850421267,0.1691935852106714,-0.14833920765264855,-0.19340987188815115,0.15756551747016426,0.02633629706079126,0.1447757431029632,0.17157233196937133,0.21919527497080657,0.029337214030817294,0.14854322128294012,0.031224624148948714,-0.12340003114367408,0.03488645827461287,0.2973966505092993,0.01725852524074137,0.7705462686628011,-0.11028880099925226
block_compactness_iqr,0.0536263217326242,0.0824185755691946,-0.08614792316760099,-0.05832967961819343,-0.015579836478889116,0.24829643105534624,-0.4143249170089655,0.17616382783827078,0.028152552539411506,-0.18052537684588846,0.06626487986471702,0.5718780949933158,-0.14739334708242188,-0.009943760113179744,-0.3471165025318424,0.2204616653106102,-0.14085149302832853,0.02902922204681751,-0.11841184161165579,0.05388257289748303,0.3259005788351232,0.12388057533465621,-0.004040264963195267
block_elongation_median,0.022132112629303997,0.144710710979405,-0.12746658208661762,-0.03449830032272811,0.07042129552771466,-0.05115196008555759,-0.03257930523926364,0.1769668083889482,0.18790739115457397,-0.12870275788638283,-0.24614007430206206,-0.3699541186738801,-0.07276819399982098,-0.10977912691333065,0.00686529614606986,-0.4002911872796685,-0.12901469158753776,0.11267042923871473,-0.14358830240859985,-0.2266434619778414,0.4239097672464543,0.4561923216362906,-0.07134539261716849
block_elongation_iqr,0.02001524291994622,0.15003671284539769,-0.1489762584884982,-0.008978671084326019,0.15012706551280303,-0.020159029881114517,-0.1874745299128395,0.29531237909778796,0.13410395432787053,-0.26282304739875145,-0.5238207973562132,-0.17902199731786456,0.23719879099018482,0.0752847504444584,0.06645527702070034,0.4536617115413573,0.1703116488427173,-0.05970683395631713,0.20649354659672642,0.149994689831362,-0.209282402634984,0.0461385881038827,-0.014937215427329903
street_class_model_share_arterial,-0.058304269405855466,-0.12259568006544765,0.10077114983669996,0.12642164179804957,-0.004604422286406563,-0.016825764126627434,-0.03361897286789221,0.02497007483269283,0.061301920187436465,0.18982448040292121,-0.049336562723118,-0.22911575682340624,-0.6542415732248189,0.32505272751010506,0.09077817362076317,0.3826552931237154,-0.07476250683140673,0.2578995826555851,-0.04997956361215868,-0.042606295315674496,0.049062294438569715,-0.024166115661940556,-0.30148494294140316
street_class_model_share_coletora,-0.0786755281413735,-0.11726126445823612,0.07270623996746645,-0.08922774787246202,-0.13881619451840865,-0.10774883312766405,-0.09181712437574405,-0.16310535131123657,-0.07725018907704573,0.1789857642740842,-0.15323059757057897,0.04352402454299837,0.4360994655413886,-0.0650704244893535,-0.04965832136321288,0.17149175742917214,0.332463258010446,0.18272932464724137,-0.2051587015904782,-0.2707213295268416,0.3381364093725256,-0.17483843216030287,-0.45499702211355986
street_class_model_share_local,0.05164927146621801,0.13441325675379054,-0.06665974160759296,0.04718295883108872,0.06889137224846167,0.0574651476670581,0.05489023108326309,0.07966325111990998,0.09661432922721294,-0.08176920064214525,0.14530585917260128,-0.02898787007524725,0.025994896476295107,-0.10252921499986002,-0.12793250771925027,-0.19866874677886406,-0.20134956415697552,-0.23626602784931472,0.11971618587705832,0.29692501256272397,-0.13183993139547023,-0.1065565583064985,-0.789046177396141
street_class_model_share_rodovia,0.012522890214431811,0.025524541990574426,-0.0007527395567877663,0.010075488134004766,0.15629703186156538,-0.018130434399270184,-0.10027448672268763,-0.012516162551339536,-0.20397830222576183,-0.2672983059400781,0.00017822457014118092,0.3475548517237434,0.023107445150467875,0.01547658351858282,0.7496999681048503,-0.12593987542533777,-0.1222429018911898,0.3106379796883182,0.11555289238886901,-0.04721232440761956,0.01376407190143452,0.003982362895075902,-0.1560772701521837
street_class_model_share_via_de_pedestres,-0.005739138886600246,0.017262836287968816,-0.0771744442527178,-0.010472654464776155,0.025468642081123444,0.034512036175598074,0.03624110932847733,0.10182561739050318,0.0746361079108422,-0.03401178697002196,-0.0901020635431073,0.22059370126624545,-0.15768813729068196,-0.07346587300924601,-0.08781923441567559,-0.18562047393644973,0.36938735261787076,0.20628545408899684,-0.4991834155837731,-0.10997949084551939,-0.5927218797698105,0.1946219596492433,-0.1211090192854559
street_class_model_share_vtr,-0.010835713232907038,-0.052455733836030534,-0.0060731832407471525,-0.012678306428285428,0.08403545921294625,0.039115200137783815,0.06805011868199898,0.03295792188797416,-0.048525386818331386,-0.04383136315108871,0.027314084899297406,0.15968849638689708,-0.06518042032430263,0.14902189169734306,-0.15655905512858245,-0.00834081284985549,0.04845283252946893,-0.224047115879382,0.49170241223809996,-0.7359832486643887,-0.15660612614721833,0.1536880235006733,-0.1301260382290853
cadastral_parcel_density_km2,-0.40229429624133467,0.28070165570404965,0.18831496994545247,0.03367580393916936,-0.17776724179793396,-0.22806401867656123,-0.3100569167263805,-0.10583280263165584,-0.09507435699479036,-0.13257860810140948,0.19016538317147622,-0.11743822866064457,-0.23415117200766514,-0.49808419138766774,0.12737810168657848,0.15842853238368673,0.179758157913094,-0.23990336036712215,0.03429617106590277,-0.050105903509107444,-0.03906153744973151,0.12506891420056182,-0.016949953795935432
building_coverage_land,-0.20333293238591704,-0.0680625609416154,0.43104402947521175,-0.2616353287683489,-0.46160614102114056,-0.008981828262648196,0.1434663598201022,0.10298145382633729,-0.2234521438130902,-0.3268813253053631,-0.31455093796975814,0.0038591999449381262,-0.00787549833025772,0.057292170755977784,-0.2070413846492221,-0.11201140130517176,-0.28314041662747474,0.18972232239884967,0.06214583953194458,0.040599436238001246,-0.12627311352856924,-0.05082364183472518,-0.02691760944705359
cadastral_floor_count_median,-0.04588873444503458,-0.10149170704492914,0.1291254666864855,0.1599081450835548,0.06235768282852416,0.25435218356774336,-0.1572877546097348,-0.13611721710047986,-0.09156873272291502,-0.5566971813695268,0.31922592380191944,-0.28790280928224043,0.0725956426688304,0.4083011198615428,-0.07530249583799879,-0.11461480445902712,0.35317063533249166,-0.009567916089878538,-0.07923549714624911,0.04339903619787856,0.08046838306193117,-0.004886022218094943,-0.011842188051699253
cadastral_floor_count_p90,-0.08658557713154882,-0.36268991788668514,-0.3405155220285483,-0.3002961383684898,0.1870823153699166,0.21280567370982062,0.364149175439975,-0.29772223070357656,-0.09989895732691043,-0.3035001835038734,-0.03323955183797388,-0.0691336821436254,-0.1551754380701915,-0.37795753617741884,-0.04682855215563054,0.2503487854945646,-0.00246442252264559,0.04036755643765581,0.0036484175172659256,0.03832117468948104,0.0650252833458001,0.06665067551404158,-0.041688092098435485
cadastral_floor_area_density,-0.3632229535802763,-0.22209456409457143,0.0383335872246911,0.13283999467362448,0.2794997837237395,0.09699834333291107,-0.3354599918446054,-0.24078558976304054,0.06168238009494109,0.05361414379303801,-0.08254424347781865,-0.09506235414178663,0.23915004658970093,0.04553474807201496,-0.020646746349309,0.036656907765954254,-0.5324691814880791,-0.09966540726942813,-0.27944903106312574,-0.16033686737567499,-0.24420538544593484,0.031031832461379034,0.012881694321936922
land_use_entropy_count,-0.08430522896134468,-0.5475498240188459,-0.09313263856722227,-0.19762971066174126,-0.012343499411311298,-0.4137910004409368,-0.08966506782189435,0.5707059515737144,0.04132252889415088,-0.07012767045377626,0.3332925487083535,-0.040699082503834534,0.06935737420539648,0.005470720526878345,0.06042809377313834,0.023892420136215724,-0.01690780399421892,-0.08021159541350054,-0.07114979710116304,0.002115542444974565,-0.0014829287333851457,0.001537910732949629,-0.0032407632820467256
formal_job_density_area_first_km2,-0.2311560434749234,-0.3226924083085378,0.10321960779518576,0.23154897552274437,0.3242466356758226,0.04789364843474265,-0.20208263032286408,0.09118613422106614,-0.240790528665541,0.19788168869394807,-0.2843144654630743,0.06455333786399624,-0.14669991780190902,-0.17242719953011737,-0.18884312510755336,-0.3340095165367007,0.2535057966560225,0.11288096174278713,0.31362363158880263,0.23641580778697738,0.08274923700101237,-0.04944637547405281,0.02045041454350361
population_density_km2,-0.39090506771779804,0.1521718664252427,-0.4263367357933511,-0.5373742395541329,-0.12603136938630283,0.014423735042704298,-0.22798039738610462,-0.15968563663968882,0.04019403569312942,0.19218078327306085,0.04439438937544484,-0.02246314352419012,-0.040071341212936644,0.339216952327843,0.016428389002342583,-0.19645347469340332,0.08876422620393393,0.0779151453058077,0.17310330875268337,0.12874394051597635,-0.05345594562266975,-0.003005618722216795,-0.004240568200796336
