component,explained_variance,cumulative
1,0.6610122571978244,0.6610122571978244
2,0.17243124338150537,0.8334435005793298
3,0.038846341344369435,0.8722898419236993
4,0.02532532880831684,0.8976151707320161
5,0.023821198263401244,0.9214363689954174
6,0.016854989138665746,0.9382913581340832
7,0.014767865907425636,0.9530592240415088
8,0.011812319748386445,0.9648715437898953
9,0.0073864038813640275,0.9722579476712593
10,0.005893766854513133,0.9781517145257724
11,0.004908128920131202,0.9830598434459036
12,0.003347039785790363,0.9864068832316939
13,0.0027011163672769466,0.9891079995989709
14,0.0025825472715457327,0.9916905468705166
15,0.0017823815914132304,0.9934729284619298
16,0.0015581856567617198,0.9950311141186915
17,0.0012810767484653098,0.9963121908671568
18,0.001201521181818781,0.9975137120489757
19,0.0008505859883701592,0.9983642980373458
20,0.0007546442048027344,0.9991189422421486
21,0.000592118043671976,0.9997110602858206
22,0.00020285094677211814,0.9999139112325927
23,8.608876740712491e-05,0.9999999999999998
