scenario,kind,spearman,max_absolute_rank_shift,top5_overlap,top5_jaccard,top5_tie_expanded_size,top5_tie_expanded_jaccard,top10_overlap,top10_jaccard,top10_tie_expanded_size,top10_tie_expanded_jaccard,top20_overlap,top20_jaccard,top20_tie_expanded_size,top20_tie_expanded_jaccard
M2_0m,source,0.9997900335946249,3,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
M2_10m,source,0.9994400895856663,3,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
M2_20m,source,0.9985862262038073,8,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
B1_gross,source,0.9999720044792834,1,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
U1_land_entropy,source,0.9716405375139978,23,4,0.6666666666666666,5,0.6666666666666666,8,0.6666666666666666,10,0.6666666666666666,16,0.6666666666666666,20,0.6666666666666666
bus_service_access_saturday_am_400m,source,0.9989501679731244,5,5,1.0,5,1.0,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
bus_service_access_saturday_am_800m,source,0.9965145576707727,12,4,0.6666666666666666,5,0.6666666666666666,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
bus_service_access_sunday_am_400m,source,0.9986982082866741,5,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
bus_service_access_sunday_am_800m,source,0.99738241881299,8,4,0.6666666666666666,5,0.6666666666666666,9,0.8181818181818182,10,0.8181818181818182,20,1.0,20,1.0
bus_service_access_weekday_am_800m,source,0.9977463605823069,7,4,0.6666666666666666,5,0.6666666666666666,9,0.8181818181818182,10,0.8181818181818182,20,1.0,20,1.0
formal_job_density_address_first_business_prior_km2,source,0.9997200447928333,4,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
formal_job_density_address_first_km2,source,0.9998320268756998,4,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
formal_job_density_address_first_located_jobs_prior_km2,source,0.9998460246360583,4,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
formal_job_density_area_first_business_prior_km2,source,0.9998880179171332,2,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
formal_job_density_area_first_located_jobs_prior_km2,source,1.0,0,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
formal_job_density_area_mixed_km2,source,1.0,0,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
formal_job_density_equal_workplace_km2,source,0.9997200447928333,4,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
formal_job_density_hybrid_km2,source,0.9999020156774916,3,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
formal_job_density_residential_first_km2,source,0.9998460246360583,2,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
M6_observed_only,source,0.9995660694288914,3,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
U1_count_composition,representation,0.9833286674132139,24,4,0.6666666666666666,5,0.6666666666666666,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
U1_land_area_composition,representation,0.9746080627099665,22,4,0.6666666666666666,5,0.6666666666666666,8,0.6666666666666666,10,0.6666666666666666,16,0.6666666666666666,20,0.6666666666666666
without_M1,family_exclusion,0.9975223964165735,9,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
without_M2,family_exclusion,0.991545352743561,14,4,0.6666666666666666,5,0.6666666666666666,9,0.8181818181818182,10,0.8181818181818182,19,0.9047619047619048,20,0.9047619047619048
without_M3,family_exclusion,0.9988241881298991,5,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
without_M4,family_exclusion,0.9972144456886899,7,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
without_M6,family_exclusion,0.9982782754759238,5,4,0.6666666666666666,5,0.6666666666666666,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
without_M7,family_exclusion,0.9935750279955209,19,5,1.0,5,1.0,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
without_B1,family_exclusion,0.9794232922732363,13,4,0.6666666666666666,5,0.6666666666666666,9,0.8181818181818182,10,0.8181818181818182,18,0.8181818181818182,20,0.8181818181818182
without_B2,family_exclusion,0.9980263157894738,6,5,1.0,5,1.0,8,0.6666666666666666,10,0.6666666666666666,19,0.9047619047619048,20,0.9047619047619048
without_B3,family_exclusion,0.9969484882418813,8,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
without_U1,family_exclusion,0.9673012318029116,25,4,0.6666666666666666,5,0.6666666666666666,8,0.6666666666666666,10,0.6666666666666666,16,0.6666666666666666,20,0.6666666666666666
without_U2,family_exclusion,0.9970884658454648,9,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
without_U3,family_exclusion,0.9948628219484882,17,4,0.6666666666666666,5,0.6666666666666666,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
without_U4,family_exclusion,0.9655375139977604,38,4,0.6666666666666666,5,0.6666666666666666,8,0.6666666666666666,10,0.6666666666666666,18,0.8181818181818182,20,0.8181818181818182
built_form_only,family_exclusion,0.9130739081746919,38,3,0.42857142857142855,5,0.42857142857142855,6,0.42857142857142855,10,0.42857142857142855,15,0.6,20,0.6
without_U2_B3,family_exclusion,0.9898236282194848,12,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
equal_domains,weight_scheme,0.9936030235162375,12,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
standard_scaling,scaling,0.999020156774916,6,5,1.0,5,1.0,9,0.8181818181818182,10,0.8181818181818182,19,0.9047619047619048,20,0.9047619047619048
no_family_calibration,calibration,0.9926931690929452,10,4,0.6666666666666666,5,0.6666666666666666,10,1.0,10,1.0,18,0.8181818181818182,20,0.8181818181818182
fit_without_Bras,fit_influence,0.9998180291153416,3,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_1.0,spatial_fit_influence,0.9997200447928333,2,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_10.0,spatial_fit_influence,0.9998320268756998,2,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_11.0,spatial_fit_influence,0.9994960806270998,3,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_12.0,spatial_fit_influence,0.9998880179171332,2,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_13.0,spatial_fit_influence,0.9991041433370661,4,5,1.0,5,1.0,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
fit_without_subprefeitura_14.0,spatial_fit_influence,0.9945268756998881,12,4,0.6666666666666666,5,0.6666666666666666,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
fit_without_subprefeitura_15.0,spatial_fit_influence,0.9983062709966406,8,5,1.0,5,1.0,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
fit_without_subprefeitura_16.0,spatial_fit_influence,0.9997480403135499,2,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_17.0,spatial_fit_influence,0.9997340425531916,3,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_18.0,spatial_fit_influence,0.9999300111982085,1,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_19.0,spatial_fit_influence,0.999874020156775,2,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_2.0,spatial_fit_influence,0.999874020156775,2,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_20.0,spatial_fit_influence,0.9995660694288914,3,5,1.0,5,1.0,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
fit_without_subprefeitura_21.0,spatial_fit_influence,0.9987681970884659,6,4,0.6666666666666666,5,0.6666666666666666,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_22.0,spatial_fit_influence,0.9988801791713326,5,5,1.0,5,1.0,10,1.0,10,1.0,19,0.9047619047619048,20,0.9047619047619048
fit_without_subprefeitura_23.0,spatial_fit_influence,0.9997340425531916,2,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_24.0,spatial_fit_influence,0.9997200447928333,2,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_25.0,spatial_fit_influence,0.9994120940649497,4,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_26.0,spatial_fit_influence,0.9996920492721164,3,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
fit_without_subprefeitura_27.0,spatial_fit_influence,0.9997480403135499,3,5,1.0,5,1.0,10,1.0,10,1.0,20,1.0,20,1.0
