subtype,class,records,length_inside_m
rail,funicular,1,116.95980973956115
rail,monorail,62,57399.82499130593
rail,narrow_gauge,1,9.369352112297094
rail,standard_gauge,360,458933.2710388374
rail,subway,383,325428.80429323314
rail,unknown,52,100700.80253225422
road,cycleway,979,294477.75317238853
road,footway,25316,1814100.0719243675
road,living_street,1394,102719.58390624299
road,motorway,923,449842.03893067257
road,path,1059,257499.43374658554
road,pedestrian,684,58088.22121053704
road,primary,9596,924869.8521474332
road,residential,131945,12275670.89826567
road,secondary,15834,1247681.3999526312
road,service,27194,2438615.493350308
road,steps,2302,90802.16840222997
road,tertiary,19728,1563648.594141664
road,track,512,259707.65669979024
road,trunk,3562,569189.3399356136
road,unclassified,1245,367092.0933405361
road,unknown,5863,358340.690544987
water,,3,6123.4622239872615
