district_id,block_compactness_iqr,block_compactness_median,block_elongation_iqr,block_elongation_median,block_log_area_iqr,block_log_area_median,building_coverage_land,bus_service_access_weekday_am_400m,cadastral_floor_area_density,cadastral_floor_count_median,cadastral_floor_count_p90,cadastral_parcel_density_km2,formal_job_density_area_first_km2,intersection_density_proxy_5m_km2,land_use_entropy_count,population_density_km2,street_class_model_share_arterial,street_class_model_share_coletora,street_class_model_share_local,street_class_model_share_rodovia,street_class_model_share_via_de_pedestres,street_class_model_share_vtr,street_density_km_km2,district_name
01,0.23964927183083817,0.6405600996890568,1.3036878631646027,1.9825385015369896,0.927742233791859,9.313142052401101,0.5004894456954392,199.2760610417696,0.8763958303611664,2.0,2.0,2901.617528406551,3755.3569082055947,118.72913909338112,0.4252687367509856,11990.173578440792,0.14182957294198614,0.278436898147532,0.5780042802945604,0.0,0.0017292486159214845,0.0,22.883473792856876,AGUA RASA
02,0.18613405700049335,0.6427154205481556,1.174838114767691,2.1117699878960496,0.6864377827934653,9.47160603032453,0.3015278290852829,100.38229622046599,0.6802295355850322,2.0,2.0,1156.5361165128977,3123.2042320475275,104.14052179053442,0.29991889455022763,4938.885460848965,0.0886150114305632,0.17326021808110736,0.7337402372940025,0.0,0.004384533194326901,0.0,19.496300699071348,ALTO DE PINHEIROS
03,0.27693644031505693,0.5423493912320482,1.6082703298501513,2.4992796763492153,1.3651219918032425,8.644467735333773,0.06536752980009757,59.96594403171606,0.05014816388851656,2.0,2.0,279.13188779893454,352.7393597299598,27.040901630521784,0.3898753090016158,2266.256178009396,0.01059586016019558,0.03683114355459211,0.8926118501271568,0.05362006765696472,0.006341078501090677,0.0,6.396344535462436,ANHANGUERA
04,0.18477414377346968,0.6403375053530738,1.3350325559375762,2.283053052710448,0.7349448906067391,8.846979112166931,0.47854422914555855,264.531071307017,0.579532484134847,2.0,2.0,3004.8930863095616,2505.7372853564198,157.36562865316228,0.38526263396293187,13044.148816767272,0.08758241474334817,0.20934732335215048,0.692423034377686,0.0,0.010647227526815283,0.0,23.224739294345703,ARICANDUVA
05,0.18044050327789019,0.655013432567393,1.2188911076025752,2.2465798232690424,0.6544686424440673,9.017709723697315,0.39322044148237556,263.3359993790645,0.48979938938257694,1.0,2.0,2123.229385332702,1388.5524328456024,129.6077025224814,0.3476049797855287,14737.14333711091,0.0854565169885954,0.2485317240011117,0.6509622453692094,0.0,0.015049513641083612,0.0,22.846216702640934,ARTUR ALVIM
06,0.19450552692304257,0.6754351413274307,1.3147469582438456,1.8471767196269626,1.1065791315484592,9.661474527970379,0.31284530841888625,462.1574712126551,1.0371221325270839,2.0,5.0,406.7922469175774,18847.709395251448,68.8522786676958,0.7599964194296367,5689.1345385064005,0.20633621520112186,0.2287006186489646,0.5569496058052058,0.0,0.002161797659804581,0.005851762684903303,15.858794750394875,BARRA FUNDA
07,0.22462777579305793,0.6621269035903906,1.3543896900867087,1.8277395063856483,1.01210966570995,9.617493472229143,0.46180918832251394,559.6602790695546,3.0197681716055365,2.0,14.0,1363.6286571464811,47586.897550483984,54.824789507508285,0.7450798509171545,21947.775264254822,0.23302772697595128,0.481169297704338,0.28081288692682893,0.0,0.004990088392881957,0.0,20.280280944597823,BELA VISTA
08,0.18775670889890494,0.7167288233418055,0.8129207621207803,1.6702372984186271,0.9922841531536726,9.428542654034782,0.4470904414507532,435.1201967796478,0.8645508056690049,2.0,3.0,1733.4062342720854,6511.193757199439,71.4533867562539,0.6173086867441625,9185.643233152434,0.11938293881820566,0.3867683881216082,0.493720051039406,0.0,0.00012862202078008984,0.0,15.154092704359762,BELEM
09,0.20667136050308976,0.7177910348863711,1.0299637134454704,1.6571174277010332,0.8516189946593364,9.56946842520735,0.4316951290924414,282.0192557116509,0.9538472749099811,2.0,4.0,1541.5771088020517,15420.18992776181,75.85424922225118,0.727589076365738,7919.240370975271,0.2203400479066893,0.3274823317080281,0.44565875849253656,0.0,0.002645149341945964,0.0038737125508000823,17.872954579061876,BOM RETIRO
10,0.18936717316295248,0.7137787651265894,0.744360534327039,1.7586635841913087,0.9990440145314334,9.420651658965536,0.5657633697201804,486.7895722849006,1.3935548824512387,2.0,4.0,1983.8684372953262,12663.668383436694,67.23109704167494,0.6724029687780823,10689.699816999384,0.19284697654132424,0.3696157336273523,0.4354444635228928,0.0,0.002092826308430803,0.0,18.556862664475037,BRAS
